name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"L[4,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,1]",0.03702,0.01668,0.2358,-0.4638,0.04558,0.4369,199.8,0.005459,1.015
"L[5,2]",-0.01477,0.01833,0.2327,-0.4891,-0.01962,0.4375,161.1,0.004400,1.029
"L[5,3]",-0.009359,0.01844,0.2470,-0.5099,-0.01219,0.4370,179.6,0.004906,1.010
"L[5,4]",0.009050,0.01772,0.2493,-0.4633,0.01460,0.4691,198.0,0.005409,1.007
"L[5,5]",0.8710,0.005229,0.08263,0.6516,0.8900,0.9829,249.8,0.006824,1.019
"L[5,6]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,1]",-0.03353,0.01904,0.2717,-0.5692,-0.03684,0.5130,203.6,0.005562,1.013
"L[6,2]",-0.02107,0.01685,0.2363,-0.5316,-0.01427,0.4053,196.5,0.005368,1.006
"L[6,3]",0.01266,0.01933,0.2418,-0.4569,0.02184,0.4487,156.5,0.004275,1.031
"L[6,4]",-0.01960,0.01991,0.2511,-0.5242,-0.02376,0.4467,159.1,0.004347,1.012
"L[6,5]",-0.01498,0.01477,0.2208,-0.4641,-0.01273,0.3843,223.3,0.006100,1.007
"L[6,6]",0.8296,0.007311,0.09801,0.5794,0.8422,0.9696,179.7,0.004910,1.020
"L[6,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
