name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"L[4,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,1]",-0.01673,0.01630,0.2304,-0.5008,-0.02125,0.4382,199.8,0.005150,1.012
"L[5,2]",-0.02429,0.02296,0.2554,-0.5177,-0.03287,0.4501,123.8,0.003191,1.033
"L[5,3]",-0.01791,0.01939,0.2469,-0.5085,-0.03205,0.4722,162.1,0.004178,1.021
"L[5,4]",-0.01811,0.01793,0.2318,-0.4896,-0.02293,0.4043,167.2,0.004310,1.011
"L[5,5]",0.8710,0.005359,0.08307,0.6659,0.8828,0.9827,240.2,0.006193,1.013
"L[5,6]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,1]",0.01528,0.04533,0.2791,-0.5057,-0.002463,0.5780,37.92,0.0009774,1.089
"L[6,2]",-0.01754,0.01895,0.2394,-0.4488,-0.04306,0.4561,159.6,0.004114,1.005
"L[6,3]",-0.03555,0.01618,0.2294,-0.4629,-0.04005,0.4139,200.9,0.005178,1.014
"L[6,4]",0.02932,0.01629,0.2466,-0.4740,0.04504,0.4655,229.3,0.005910,1.013
"L[6,5]",0.05202,0.02099,0.2560,-0.4971,0.07702,0.5124,148.8,0.003836,1.028
"L[6,6]",0.8185,0.01114,0.1028,0.5950,0.8373,0.9615,85.11,0.002194,1.036
"L[6,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
